,0
0,0
1,1
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,1
12,0
13,1
14,0
15,1
16,0
17,1
18,0
19,1
20,1
21,0
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,1
33,0
34,1
35,0
36,1
37,0
38,1
39,0
40,1
41,0
42,1
43,0
44,1
45,0
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,0
54,1
55,0
56,1
57,0
58,1
59,0
60,1
61,0
62,1
63,0
64,1
65,0
66,1
67,0
68,1
69,0
70,1
71,0
72,1
73,0
74,1
75,0
76,1
77,0
78,1
79,0
80,1
81,0
82,1
83,0
84,1
85,0
86,1
87,0
88,1
89,0
90,1
91,1
92,0
93,1
94,0
95,1
96,0
97,1
98,0
99,1
100,0
101,1
102,0
103,1
104,0
105,1
106,0
107,1
108,0
109,1
110,0
111,1
112,0
113,1
114,1
115,0
116,1
117,0
118,1
119,0
120,1
121,0
122,1
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,0
134,1
135,0
136,1
137,1
138,0
139,1
140,0
141,1
142,0
143,1
144,0
145,1
146,0
147,1
148,0
149,1
150,0
151,1
152,0
153,1
154,0
155,1
156,1
157,0
158,1
159,0
160,1
161,0
162,1
163,0
164,1
165,0
166,1
167,0
168,1
169,0
170,1
171,1
172,0
173,1
174,0
175,0
176,0
177,1
178,0
179,1
180,0
181,1
182,1
183,1
184,1
185,0
186,1
187,1
188,0
189,1
190,0
191,1
192,0
193,1
194,1
195,0
196,1
197,0
198,1
199,1
200,0
201,1
202,0
203,1
204,1
205,0
206,1
207,1
208,0
209,1
210,0
211,1
212,1
213,0
214,1
215,0
216,1
217,0
218,1
219,1
220,0
221,1
222,0
223,1
224,0
225,1
226,0
227,1
228,0
229,1
230,0
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,0
239,1
240,0
241,1
242,0
243,1
244,0
245,1
246,0
247,1
248,0
249,1
250,0
251,1
252,0
253,1
254,0
255,1
256,0
257,1
258,0
259,1
260,0
261,1
262,1
263,0
264,1
265,0
266,1
267,0
268,1
269,0
270,1
271,0
272,1
273,0
274,1
275,0
276,1
277,0
278,1
279,0
280,1
281,0
282,1
283,0
284,1
285,1
286,0
287,1
288,0
289,1
290,0
291,1
292,0
293,1
294,0
295,1
296,0
297,1
298,0
299,1
300,0
301,1
302,0
303,1
304,0
305,1
306,0
307,1
308,1
309,0
310,1
311,0
312,1
313,0
314,1
315,0
316,1
317,0
318,1
319,0
320,1
321,0
322,1
323,0
324,1
325,0
326,1
327,0
328,1
329,1
330,0
331,1
332,0
333,1
334,0
335,1
336,0
337,1
338,0
339,1
340,0
341,1
342,0
343,1
344,0
345,0
346,0
347,1
348,0
349,1
350,1
351,0
352,1
353,1
354,1
355,0
356,1
357,1
358,0
359,1
360,0
361,1
362,0
363,1
364,1
365,0
366,1
367,0
368,1
369,1
370,0
371,1
372,0
373,1
374,1
375,0
376,1
377,0
378,1
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,1
387,0
388,1
389,0
390,1
391,1
392,0
393,1
394,1
395,0
396,1
397,0
398,1
399,0
400,1
401,0
402,1
403,0
404,1
405,1
406,0
407,1
408,0
409,1
410,0
411,1
412,0
413,1
414,0
415,0
416,1
417,1
418,0
419,1
420,0
421,0
422,1
423,1
424,0
425,1
426,0
427,0
428,1
429,1
430,0
431,1
432,0
433,1
434,0
435,0
436,1
437,1
438,0
439,1
440,0
441,0
442,1
443,1
444,0
445,1
446,0
447,1
448,0
449,0
450,1
451,1
452,0
453,1
454,0
455,1
456,0
457,1
458,0
459,1
460,0
461,0
462,1
463,1
464,0
465,1
466,0
467,1
468,0
469,1
470,0
471,1
472,0
473,1
474,0
475,0
476,1
477,1
478,0
479,1
480,0
481,1
482,0
483,1
484,0
485,1
486,0
487,1
488,0
489,1
490,0
491,1
492,0
493,1
494,0
495,1
496,0
497,1
498,0
499,1
500,0
501,1
502,0
503,1
504,0
505,1
506,0
507,1
508,0
509,1
510,0
511,1
512,0
513,1
514,0
515,1
516,1
517,0
518,1
519,0
520,1
521,0
522,1
523,0
524,1
525,0
526,1
527,0
528,1
529,0
530,1
531,0
532,1
533,0
534,1
535,0
536,1
537,0
538,1
539,0
540,1
541,1
542,0
543,1
544,0
545,1
546,0
547,1
548,0
549,1
550,0
551,1
552,0
553,1
554,0
555,1
556,0
557,1
558,0
559,1
560,0
561,1
562,0
563,1
564,1
565,0
566,1
567,0
568,1
569,0
570,1
571,0
572,1
573,0
574,1
575,0
576,1
577,0
578,1
579,0
580,1
581,0
582,1
583,1
584,0
585,1
586,0
587,1
588,0
589,1
590,0
591,1
592,0
593,0
594,0
595,1
596,0
597,1
598,0
599,1
600,1
601,1
602,1
603,0
604,1
605,0
606,1
607,1
608,0
609,1
610,0
611,1
612,1
613,0
614,1
615,0
616,1
617,1
618,0
619,1
620,0
621,1
622,0
623,1
624,1
625,0
626,1
627,0
628,1
629,1
630,0
631,1
632,0
633,1
634,1
635,0
636,1
637,0
638,1
639,1
640,0
641,1
642,0
643,1
644,0
645,1
646,0
647,1
648,0
649,0
650,1
651,0
652,1
653,0
654,1
655,0
656,1
657,0
658,1
659,0
660,1
661,0
662,1
663,0
664,1
665,0
666,1
667,0
668,1
669,0
670,1
671,0
672,1
673,0
674,1
675,0
676,1
677,0
678,0
679,1
680,0
681,1
682,0
683,1
684,0
685,1
686,0
687,1
688,0
689,1
690,0
691,1
692,0
693,1
694,0
695,1
696,0
697,1
698,0
699,1
700,0
701,0
702,1
703,0
704,1
705,0
706,1
707,0
708,1
709,0
710,1
711,0
712,1
713,0
714,1
715,0
716,1
717,0
718,1
719,0
720,0
721,1
722,0
723,1
724,0
725,1
726,0
727,1
728,0
729,1
730,0
731,1
732,0
733,1
734,0
735,0
736,1
737,0
738,1
739,0
740,1
741,0
742,1
743,0
744,1
745,0
746,1
747,0
748,1
749,0
750,1
751,0
752,0
753,1
754,0
755,1
756,0
757,1
758,0
759,1
760,0
761,1
762,0
763,1
764,0
765,0
766,1
767,0
768,1
769,0
770,1
771,0
772,1
773,0
774,1
775,0
776,0
777,1
778,0
779,1
780,0
781,1
782,0
783,1
784,0
785,1
786,0
787,0
788,1
789,0
790,1
791,0
792,1
793,0
794,1
795,0
796,1
797,0
798,0
799,1
800,0
801,1
802,0
803,1
804,0
805,1
806,0
807,0
808,1
809,0
810,1
811,0
812,1
813,0
814,1
815,0
816,1
817,0
818,1
819,0
820,1
821,0
822,1
823,0
824,1
825,0
826,0
827,1
828,0
829,1
830,0
831,1
832,0
833,1
834,0
835,1
836,0
837,1
838,0
839,1
840,0
841,1
842,0
843,1
844,0
845,1
846,0
847,1
848,0
849,1
850,0
851,1
852,0
853,1
854,0
855,1
856,0
857,1
858,1
859,0
860,1
861,0
862,1
863,0
864,1
865,0
866,1
867,0
868,1
869,0
870,1
871,0
872,1
873,0
874,1
875,0
876,1
877,0
878,1
879,0
880,1
881,0
882,1
883,0
884,1
885,0
886,1
887,0
888,1
889,0
890,1
891,0
892,1
893,0
894,1
895,0
896,1
897,1
898,0
899,1
900,0
901,1
902,0
903,1
904,0
905,1
906,0
907,1
908,0
909,1
910,0
911,1
912,0
913,1
914,0
915,1
916,0
917,1
918,0
919,1
920,0
921,1
922,0
923,1
924,0
925,1
926,0
927,1
928,1
929,0
930,1
931,0
932,1
933,0
934,1
935,0
936,1
937,0
938,1
939,0
940,1
941,0
942,1
943,0
944,1
945,0
946,1
947,0
948,1
949,1
950,0
951,1
952,0
953,1
954,0
955,1
956,0
957,1
958,0
959,1
960,0
961,1
962,0
963,1
964,0
965,1
966,1
967,0
968,1
969,0
970,1
971,0
972,1
973,0
974,1
975,0
976,1
977,0
978,1
979,0
980,1
981,1
982,0
983,1
984,0
985,1
986,0
987,1
988,0
989,1
990,0
991,0
992,0
993,1
994,0
995,1
996,1
997,1
998,1
999,0
1000,1
1001,0
1002,1
1003,1
1004,0
1005,1
1006,0
1007,1
1008,1
1009,0
1010,1
1011,0
1012,1
1013,0
1014,1
1015,1
1016,0
1017,1
1018,0
1019,1
1020,1
1021,0
1022,1
1023,0
1024,1
1025,1
1026,0
1027,1
1028,0
1029,1
1030,0
1031,1
1032,1
1033,0
1034,1
1035,0
1036,1
1037,1
1038,1
1039,0
1040,1
1041,0
1042,1
1043,0
1044,1
1045,0
1046,1
1047,0
1048,1
1049,0
1050,1
1051,0
1052,1
1053,0
1054,1
1055,0
1056,1
1057,0
1058,1
1059,0
1060,1
